# time 	 divergence 	 # of mutations 	 # IGC chances 	 IGC length 	 # IGC failures 	 Changes due to IGC  	 % change due to IGC 
0.0	0.114519427403	0	0	0	0	0	0.0
0.0012441641399	0.104294478528	0	1	17	0	5	1.0
0.00539851697233	0.106339468303	1	1	17	0	5	0.833333333333
0.00680952043496	0.108384458078	2	1	17	0	5	0.714285714286
0.0122948897812	0.110429447853	3	1	17	0	5	0.625
0.0191360802103	0.0736196319018	3	2	108	0	23	0.884615384615
0.0201874269612	0.0756646216769	4	2	108	0	23	0.851851851852
0.0224389658348	0.0777096114519	5	2	108	0	23	0.821428571429
0.0238308088304	0.079754601227	6	2	108	0	23	0.793103448276
0.0239573430403	0.081799591002	7	2	108	0	23	0.766666666667
0.0259258112278	0.0838445807771	8	2	108	0	23	0.741935483871
0.031645237657	0.081799591002	9	2	108	0	23	0.71875
0.0331128890339	0.0838445807771	10	2	108	0	23	0.69696969697
0.0339158358382	0.0858895705521	11	2	108	0	23	0.676470588235
0.035192319899	0.0879345603272	12	2	108	0	23	0.657142857143
0.0377536086404	0.0899795501022	13	2	108	0	23	0.638888888889
0.0411158673365	0.0920245398773	14	2	108	0	23	0.621621621622
0.0443024137065	0.0940695296524	15	2	108	0	23	0.605263157895
0.0446798497624	0.0920245398773	16	2	108	0	23	0.589743589744
0.0447264086421	0.0940695296524	17	2	108	0	23	0.575
0.0450057794219	0.0961145194274	18	2	108	0	23	0.560975609756
0.0489431620002	0.0981595092025	19	2	108	0	23	0.547619047619
0.058702340926	0.100204498978	20	2	108	0	23	0.53488372093
0.0588135089653	0.102249488753	21	2	108	0	23	0.522727272727
0.0617925427357	0.104294478528	22	2	108	0	23	0.511111111111
0.0623331923149	0.106339468303	23	2	108	0	23	0.5
0.0637839948926	0.108384458078	24	2	108	0	23	0.489361702128
0.064351878383	0.110429447853	25	2	108	0	23	0.479166666667
0.0719254428509	0.112474437628	26	2	108	0	23	0.469387755102
0.0736944028434	0.114519427403	27	2	108	0	23	0.46
0.0745025405938	0.116564417178	28	2	108	0	23	0.450980392157
0.0809923959552	0.118609406953	29	2	108	0	23	0.442307692308
0.0833384685778	0.120654396728	30	2	108	0	23	0.433962264151
